title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
Hands-On Business Intelligence with DAX: Discover the intricacies of this powerful query language to gain valuable insights from your data,[ Ian Horne],36.99,36.99,402,4.7,17,76%,15%,9%,,,7.5 x 0.91 x 9.25 inches,1.52 pounds,English,Packt Publishing , ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A07564623RP8EQFJ7JOBH&qualifier=1671165050&id=5922903231367767&widgetName=sp_mtf&url=%2FHands-Business-Intelligence-DAX-intricacies%2Fdp%2F1838824308%2Fref%3Dsr_1_180_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165050%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-180-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A07564623RP8EQFJ7JOBH&qualifier=1671165050&id=5922903231367767&widgetName=sp_mtf&url=%2FHands-Business-Intelligence-DAX-intricacies%2Fdp%2F1838824308%2Fref%3Dsr_1_180_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165050%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-180-spons%26psc%3D1
Data Science Crash Course for Beginners with Python: Fundamentals and Practices with Python (Machine Learning & Data Science for Beginners),,23.48, 19.99 - 23.48 ,314,5,10,100%,,,,,6 x 0.71 x 9 inches,14.9 ounces,English,AI Publishing LLC ,978-1734790146,/Science-Crash-Course-Beginners-Python/dp/1734790148/ref=sr_1_247?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-247,https://www.amazon.com/Science-Crash-Course-Beginners-Python/dp/1734790148/ref=sr_1_247?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-247
Azure Data Scientist Associate Certification Guide: A hands-on guide to machine learning in Azure and passing the Microsoft Certified DP-100 exam,"[ Andreas Botsikas,  and , Michael Hlobil]",53.64, 51.99 - 53.64 ,448,4.4,17,68%,14%,9%,9%,,7.5 x 1.01 x 9.25 inches,1.69 pounds,English,Packt Publishing , ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A07383351LXTTO69ZN3QK&qualifier=1671165050&id=5922903231367767&widgetName=sp_mtf&url=%2FAzure-Scientist-Associate-Certification-hands%2Fdp%2F1800565003%2Fref%3Dsr_1_179_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165050%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-179-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A07383351LXTTO69ZN3QK&qualifier=1671165050&id=5922903231367767&widgetName=sp_mtf&url=%2FAzure-Scientist-Associate-Certification-hands%2Fdp%2F1800565003%2Fref%3Dsr_1_179_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165050%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-179-spons%26psc%3D1
The Revenge of Dr. von Naysayer (10) (The DATA Set),,6.99,6.99,128,,,,,,,,5.5 x 0.32 x 7.31 inches,1.11 pounds,English,Little Simon ,978-1665915946,/Revenge-Dr-von-Naysayer-DATA/dp/1665915943/ref=sr_1_249?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-249,https://www.amazon.com/Revenge-Dr-von-Naysayer-DATA/dp/1665915943/ref=sr_1_249?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-249
"Learn Power BI: A comprehensive, step-by-step guide for beginners to learn real-world business intelligence, 2nd Edition",[ Greg Deckler],37.21,37.21,458,4.4,39,62%,25%,7%,6%,,7.5 x 1.04 x 9.25 inches,1.73 pounds,English,Packt Publishing,978-1801811958,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0206103108A47FMUUH2U&qualifier=1671165050&id=5922903231367767&widgetName=sp_mtf&url=%2FLearn-Power-comprehensive-step-step%2Fdp%2F1801811954%2Fref%3Dsr_1_178_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165050%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-178-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0206103108A47FMUUH2U&qualifier=1671165050&id=5922903231367767&widgetName=sp_mtf&url=%2FLearn-Power-comprehensive-step-step%2Fdp%2F1801811954%2Fref%3Dsr_1_178_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165050%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-178-spons%26psc%3D1
Teradata Query Performance Tuning: DWHPro's Guide,"[ Roland Wenzlofsky,  and , Artemios Vogiatzis]",55,55,322,4.9,12,88%,12%,,,,,,English,,,/Teradata-Query-Performance-Tuning-DWHPros-ebook/dp/B08KHP87JB/ref=sr_1_245?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-245,https://www.amazon.com/Teradata-Query-Performance-Tuning-DWHPros-ebook/dp/B08KHP87JB/ref=sr_1_245?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-245
"The United States of America: the Superpower, the Trump Presidency & the Fall of Western Civilization",[ Jamal H. Qadri Ph.D.],3.99,3.99,98,4.4,7,60%,20%,20%,,,,,English,Xlibris US ,,/United-States-America-Superpower-Civilization-ebook/dp/B08JGPW3RM/ref=sr_1_243?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-243,https://www.amazon.com/United-States-America-Superpower-Civilization-ebook/dp/B08JGPW3RM/ref=sr_1_243?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-243
The Hundred-Page Machine Learning Book,[ Andriy Burkov],31.99, 26.50 - 31.99 ,160,4.6,839,80%,10%,4%,2%,3%,7.5 x 0.38 x 9.25 inches,13.8 ounces,English,Andriy Burkov ,978-1999579500,/Hundred-Page-Machine-Learning-Book/dp/199957950X/ref=sr_1_244?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-244,https://www.amazon.com/Hundred-Page-Machine-Learning-Book/dp/199957950X/ref=sr_1_244?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-244
Roman's Data Science: How to monetize your data,"[ Roman Zykov, Vladimir Vishvanyuk, et al.]",,,350,4.7,11,76%,13%,10%,,,,,English,,,/Romans-Data-Science-monetize-your-ebook/dp/B09CVD8T5K/ref=sr_1_242?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-242,https://www.amazon.com/Romans-Data-Science-monetize-your-ebook/dp/B09CVD8T5K/ref=sr_1_242?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-242
Data Science from Scratch with Python: A Step By Step Guide for Beginner's and Faster Way To Learn Python In 7 Days & NLP using Advanced (Including Programming Interview Questions),[ Richard Wilson],,,243,4.5,94,74%,13%,3%,3%,7%,,,English,,,/Data-Science-Scratch-Python-Programming-ebook/dp/B07XLC99Q4/ref=sr_1_239?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-239,https://www.amazon.com/Data-Science-Scratch-Python-Programming-ebook/dp/B07XLC99Q4/ref=sr_1_239?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-239
Pattern Recognition and Machine Learning (Information Science and Statistics),[ Christopher M. Bishop],105.22, 90.99 - 105.22 ,738,4.6,687,76%,13%,6%,3%,2%,7.7 x 1.3 x 10.2 inches,4.73 pounds,English,Springer ,978-0387310732,/Pattern-Recognition-Learning-Information-Statistics/dp/0387310738/ref=sr_1_238?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-238,https://www.amazon.com/Pattern-Recognition-Learning-Information-Statistics/dp/0387310738/ref=sr_1_238?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-238
A Hands-On Introduction to Data Science,[ Chirag Shah],53.98, 34.05 - 53.98 ,424,4.6,61,77%,12%,8%,2%,,7.4 x 1 x 9.7 inches,2.56 pounds,English,Cambridge University Press, ,/Hands-Introduction-Data-Science/dp/1108472443/ref=sr_1_237?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-237,https://www.amazon.com/Hands-Introduction-Data-Science/dp/1108472443/ref=sr_1_237?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-237
Machine Learning Engineering in Action,[ Ben Wilson],,,,,,,,,,,,,,,,/Machine-Learning-Engineering-Action-Wilson/dp/1617298719/ref=sr_1_224?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-224,https://www.amazon.com/Machine-Learning-Engineering-Action-Wilson/dp/1617298719/ref=sr_1_224?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-224
"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools","[ Davy Cielen, Arno Meysman, et al.]",42.74, 24.87 - 42.74 ,320,4.4,98,66%,20%,6%,3%,6%,7.38 x 0.8 x 9.25 inches,1.06 pounds,English,Manning,978-1633430037,/Introducing-Data-Science-Machine-Learning/dp/1633430030/ref=sr_1_231?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-231,https://www.amazon.com/Introducing-Data-Science-Machine-Learning/dp/1633430030/ref=sr_1_231?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-231
Data Science from Scratch: From Data Visualization to Manipulation: It Is the Easy Way! All You Need for Business Using the Basic Principles of Python and Beyond (Revised & Expanded Edition),"[ William Gray, Damon Knox, et al.]",,,,2.7,12,20%,31%,49%,,,,,,,,/Data-Science-Scratch-Visualization-Manipulation/dp/B083QRD132/ref=sr_1_233?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-233,https://www.amazon.com/Data-Science-Scratch-Visualization-Manipulation/dp/B083QRD132/ref=sr_1_233?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-233
HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),[ Harvard Business Review],14.19, 12.99 - 14.19 ,256,4.5,388,71%,14%,11%,2%,3%,5 x 0.75 x 9 inches,10.4 ounces,English,Harvard Business Review Press ,39,/Guide-Data-Analytics-Basics-Managers/dp/1633694283/ref=sr_1_234?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-234,https://www.amazon.com/Guide-Data-Analytics-Basics-Managers/dp/1633694283/ref=sr_1_234?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-234
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps","[ Valliappa Lakshmanan, Sara Robinson, et al.]",36.99,36.99,408,4.6,263,73%,17%,6%,3%,1%,9.06 x 0.94 x 6.85 inches,1.45 pounds,English,O'Reilly Media, ,/Machine-Learning-Design-Patterns-Preparation/dp/1098115783/ref=sr_1_232?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-232,https://www.amazon.com/Machine-Learning-Design-Patterns-Preparation/dp/1098115783/ref=sr_1_232?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-232
Natural Language Processing with Transformers: Building Language Applications with Hugging Face,"[ Lewis Tunstall, Leandro von Werra, et al.]",55.91, 42.98 - 55.91 ,406,4.6,119,78%,13%,2%,3%,5%,7 x 0.84 x 9.19 inches,1.43 pounds,English,O'Reilly Media, ,/Natural-Language-Processing-Transformers-Applications/dp/1098103246/ref=sr_1_229?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-229,https://www.amazon.com/Natural-Language-Processing-Transformers-Applications/dp/1098103246/ref=sr_1_229?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-229
Capitalizing Data Science: A Guide to Unlocking the Power of Data for Your Business and Products (English Edition),[ Mathangi Sri Ramachandran],9.95,9.95,370,,,,,,,,,,English,BPB Publications,,/Capitalizing-Data-Science-Unlocking-Business-ebook/dp/B0BNXFYJDG/ref=sr_1_223?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-223,https://www.amazon.com/Capitalizing-Data-Science-Unlocking-Business-ebook/dp/B0BNXFYJDG/ref=sr_1_223?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-223
"The Equality Machine: Harnessing Digital Technology for a Brighter, More Inclusive Future",[ Orly Lobel],,,,,,,,,,,,,,,,/Equality-Machine-Harnessing-Technology-Inclusive/dp/1541774752/ref=sr_1_296?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-296,https://www.amazon.com/Equality-Machine-Harnessing-Technology-Inclusive/dp/1541774752/ref=sr_1_296?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-296
Feature Engineering and Selection (Chapman & Hall/CRC Data Science Series),,41.16,41.16,314,4.5,65,74%,13%,8%,2%,4%,7.01 x 0.74 x 10 inches,5.51 pounds,English,Routledge,-25%,/Feature-Engineering-Selection-Chapman-Science/dp/1032090855/ref=sr_1_300?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-300,https://www.amazon.com/Feature-Engineering-Selection-Chapman-Science/dp/1032090855/ref=sr_1_300?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-300
Don't Trust Your Gut: Using Data to Get What You Really Want in LIfe,[ Seth Stephens-Davidowitz],14.99,14.99,316,4.3,242,56%,24%,16%,3%,1%,,"I love the way Seth Stephens-Davidowitz explains how we can better live our lives by exploiting the small advantages in life. On the basketball court, I made a career out of finding these types of minor advantages, and I’ve found that most successful individuals in life value the accumulation of small advantages. In the end, they add up to significant life benefits. -- ",English,Dey Street Books ,99,/Dont-Trust-Your-Gut-Really-ebook/dp/B0983M7Z7H/ref=sr_1_298?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-298,https://www.amazon.com/Dont-Trust-Your-Gut-Really-ebook/dp/B0983M7Z7H/ref=sr_1_298?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-298
Humble Pi: When Math Goes Wrong in the Real World,[ Matt Parker],15.3,15.3,336,4.6,"1,338",72%,18%,7%,1%,1%,5.41 x 0.86 x 8.24 inches,9.6 ounces,English,Riverhead Books ,30,/Humble-Pi-When-Wrong-World/dp/0593084691/ref=sr_1_299?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-299,https://www.amazon.com/Humble-Pi-When-Wrong-World/dp/0593084691/ref=sr_1_299?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-299
The Tableau Workshop: A practical guide to the art of data visualization with Tableau,"[ Sumit Gupta, Sylvester Pinto, et al.]",46.99,46.99,822,4.7,32,77%,12%,11%,,,7.5 x 1.86 x 9.25 inches,3.06 pounds,English,Packt Publishing ,978-1800207653,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A029339114J7CE6TYQZ8A&qualifier=1671165060&id=994456475850918&widgetName=sp_mtf&url=%2FTableau-Workshop-practical-guide-visualization%2Fdp%2F1800207654%2Fref%3Dsr_1_226_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165060%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-226-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A029339114J7CE6TYQZ8A&qualifier=1671165060&id=994456475850918&widgetName=sp_mtf&url=%2FTableau-Workshop-practical-guide-visualization%2Fdp%2F1800207654%2Fref%3Dsr_1_226_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165060%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-226-spons%26psc%3D1
"Research Anthology on Machine Learning Techniques, Methods, and Applications",[ Information Resources Management Association],1318.74,1318.74,555,,,,,,,,8.5 x 1.19 x 11 inches,3.44 pounds,English,Engineering Science Reference ,978-1668466704,/Research-Anthology-Learning-Techniques-Applications/dp/1668466708/ref=sr_1_297?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-297,https://www.amazon.com/Research-Anthology-Learning-Techniques-Applications/dp/1668466708/ref=sr_1_297?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-297
Advanced Analytics with PySpark: Patterns for Learning from Data at Scale Using Python and Spark,"[ Akash Tandon, Sandy Ryza, et al.]",,,,,,,,,,,,,,,,/Advanced-Analytics-PySpark-Patterns-Learning/dp/1098103653/ref=sr_1_290?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-290,https://www.amazon.com/Advanced-Analytics-PySpark-Patterns-Learning/dp/1098103653/ref=sr_1_290?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-290
"Splunk Operational Intelligence Cookbook: Over 80 recipes for transforming your data into business-critical insights using Splunk, 3rd Edition","[ Josh Diakun, Paul R Johnson, et al.]",54.99,54.99,536,4.6,33,71%,20%,5%,4%,,7.5 x 1.21 x 9.25 inches,2.01 pounds,English,Packt Publishing,978-1788835237,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A02058912GFICS9BHBPJW&qualifier=1671165060&id=994456475850918&widgetName=sp_mtf&url=%2FSplunk-Operational-Intelligence-Cookbook-business-critical%2Fdp%2F1788835239%2Fref%3Dsr_1_227_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165060%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-227-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A02058912GFICS9BHBPJW&qualifier=1671165060&id=994456475850918&widgetName=sp_mtf&url=%2FSplunk-Operational-Intelligence-Cookbook-business-critical%2Fdp%2F1788835239%2Fref%3Dsr_1_227_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165060%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-227-spons%26psc%3D1
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,[ Yoon Hyup Hwang],45.89,45.89,464,4.3,68,58%,25%,8%,7%,3%,7.5 x 1.05 x 9.25 inches,1.74 pounds,English,Packt Publishing , ,/Hands-Data-Science-Marketing-strategies/dp/1789346347/ref=sr_1_295?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-295,https://www.amazon.com/Hands-Data-Science-Marketing-strategies/dp/1789346347/ref=sr_1_295?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-295
"Generic Data Structures and Algorithms in Go: An Applied Approach Using Concurrency, Genericity and Heuristics",[ Richard Wiener],,,,,,,,,,,,,,,,/Generic-Data-Structures-Algorithms-Concurrency/dp/148428190X/ref=sr_1_287?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-287,https://www.amazon.com/Generic-Data-Structures-Algorithms-Concurrency/dp/148428190X/ref=sr_1_287?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-287
R for Political Data Science (Chapman & Hall/CRC The R Series),,54.09, 53.85 - 54.09 ,460,5,6,100%,,,,,7.01 x 1.04 x 10 inches,1.87 pounds,English,Chapman and Hall/CRC, ,/Political-Data-Science-Chapman-Hall/dp/0367818833/ref=sr_1_293?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-293,https://www.amazon.com/Political-Data-Science-Chapman-Hall/dp/0367818833/ref=sr_1_293?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-293
Targeted Learning in Data Science: Causal Inference for Complex Longitudinal Studies (Springer Series in Statistics),,85.04, 76.91 - 85.04 ,682,5,2,100%,,,,,6.14 x 1.44 x 9.21 inches,2.61 pounds,English,Springer, ,/Targeted-Learning-Data-Science-Longitudinal/dp/3319653032/ref=sr_1_294?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-294,https://www.amazon.com/Targeted-Learning-Data-Science-Longitudinal/dp/3319653032/ref=sr_1_294?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-294
Integrating Data,"[ Bill Inmon, Patty Haines, et al.]",39.95,39.95,134,5,3,100%,,,,,6 x 0.31 x 9 inches,6.7 ounces,English,Technics Publications,978-1634622820,/Integrating-Data-Bill-Inmon/dp/1634622820/ref=sr_1_292?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-292,https://www.amazon.com/Integrating-Data-Bill-Inmon/dp/1634622820/ref=sr_1_292?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165070&sprefix=data+science%2Caps%2C586&sr=8-292
